SiteID,Location,loc_col,Latitude,Longitude
,DEC Monitor Average,DEC_Avg,40.14458,-71.70936
36005NY11534,Mott Haven,Mott_Haven,40.80649,-73.92249
36005NY11790,Hunt's Point,Hunts_Point,40.81909,-73.88566
36005NY12387,Cross Bronx Expy,Cross_Bronx_Expy,40.84517,-73.90614
36047NY07974,BQE,BQE,40.7028,-73.96082
36061NY08454,Manhattan Bridge,Manhattan_Bridge,40.71651,-73.997
36061NY08552,Williamsburg Bridge,Williamsburg_Bridge,40.71807,-73.98606
36061NY08653,FDR,FDR,40.72229,-73.97465
36061NY09734,Broadway/35th St,Broadway_35th_St,40.75069,-73.98783
36061NY09929,Midtown West,Midtown_DOT,40.75508,-73.99041
36061NY10130,Queensboro Bridge,Queensboro_Bridge,40.76123,-73.96389
36061NY12380,Hamilton Bridge,Hamilton_Bridge,40.84654,-73.93302
36081NY07615,Van Wyck,Van_Wyck,40.69015,-73.80908
36081NY08198,Glendale,Glendale,40.70574,-73.88627
36081NY09285,Queens College,Queens_College,40.73711,-73.82156
36085NY03820,SI Expwy,SI_Expwy,40.60921,-74.15118
